date,ncase,ndeath,gender,area,country,type,death
30/04/2020,359,43,unknown,unknown,ireland,confirmed,covid
30/04/2020,0,-1,unknown,unknown,ireland, denotified, denotified
01/05/2020,87,18,unknown,north,ireland,confirmed,covid
01/05/2020,221,34,unknown,unknown,ireland,confirmed,covid
01/05/2020,0,-1,unknown,unknown,ireland, denotified, denotified
02/05/2020,66,11,unknown,north,ireland,confirmed,covid
02/05/2020,343,25,unknown,unknown,ireland,confirmed,covid
02/05/2020,0,-4,unknown,unknown,ireland, denotified, denotified
03/05/2020,78,5,unknown,north,ireland,confirmed,covid
03/05/2020,330,19,unknown,unknown,ireland,confirmed,covid
03/05/2020,0,-2,unknown,unknown,ireland, denotified, denotified
04/05/2020,69,6,unknown,north,ireland,confirmed,covid
04/05/2020,266,16,unknown,unknown,ireland,confirmed,covid
04/05/2020,0,0,unknown,unknown,ireland, denotified, denotified
05/05/2020,45,17,unknown,north,ireland,confirmed,covid
05/05/2020,211,23,unknown,unknown,ireland,confirmed,covid
05/05/2020,0,-3,unknown,unknown,ireland, denotified, denotified
06/05/2020,53,14,unknown,north,ireland,confirmed,covid
06/05/2020,265,37,unknown,unknown,ireland,confirmed,covid
06/05/2020,0,-1,unknown,unknown,ireland, denotified, denotified
07/05/2020,50,4,unknown,north,ireland,confirmed,covid
07/05/2020,137,29,unknown,unknown,ireland,confirmed,covid
07/05/2020,0,-1,unknown,unknown,ireland, denotified, denotified
08/05/2020,38,5,unknown,north,ireland,confirmed,covid
08/05/2020,156,27,unknown,unknown,ireland,confirmed,covid
08/05/2020,0,-1,unknown,unknown,ireland, denotified, denotified
09/05/2020,56,4,unknown,north,ireland,confirmed,covid
09/05/2020,219,18,unknown,unknown,ireland,confirmed,covid
09/05/2020,0,-1,unknown,unknown,ireland, denotified, denotified
10/05/2020,41,5,unknown,north,ireland,confirmed,covid
10/05/2020,236,12,unknown,unknown,ireland,confirmed,covid
11/05/2020,30,3,unknown,north,ireland,confirmed,covid
11/05/2020,139,15,unknown,unknown,ireland,confirmed,covid
11/05/2020,0,-6,unknown,unknown,ireland, denotified, denotified
12/05/2020,44,9,unknown,north,ireland,confirmed,covid
12/05/2020,107,24,unknown,unknown,ireland,confirmed,covid
12/05/2020,0,-3,unknown,unknown,ireland, denotified, denotified
13/05/2020,60,2,unknown,north,ireland,confirmed,covid
13/05/2020,159,10,unknown,unknown,ireland,confirmed,covid
13/05/2020,0,-1,unknown,unknown,ireland, denotified, denotified
14/05/2020,38,5,unknown,north,ireland,confirmed,covid
14/05/2020,203,10,unknown,unknown,ireland,confirmed,covid
14/05/2020,0,-1,unknown,unknown,ireland, denotified, denotified
14/05/2020,223,0,unknown,unknown,ireland, late_confirmed,covid
15/05/2020,26,15,unknown,north,ireland,confirmed,covid
15/05/2020,129,16,unknown,unknown,ireland,confirmed,covid
15/05/2020,0,-4,unknown,unknown,ireland, denotified, denotified
16/05/2020,40,4,unknown,north,ireland,confirmed,covid
16/05/2020,92,15,unknown,unknown,ireland,confirmed,covid
17/05/2020,28,3,unknown,north,ireland,confirmed,covid
17/05/2020,64,10,unknown,unknown,ireland,confirmed,covid
18/05/2020,16,6,unknown,north,ireland,confirmed,covid
18/05/2020,88,4,unknown,unknown,ireland,confirmed,covid
19/05/2020,20,7,unknown,north,ireland,confirmed,covid
19/05/2020,51,16,unknown,unknown,ireland,confirmed,covid
19/05/2020,0,-2,unknown,unknown,ireland, denotified, denotified
20/05/2020,18,5,unknown,north,ireland,confirmed,covid
20/05/2020,64,11,unknown,unknown,ireland,confirmed,covid
20/05/2020,0,-1,unknown,unknown,ireland, denotified, denotified
21/05/2020,42,7,unknown,north,ireland,confirmed,covid
21/05/2020,76,12,unknown,unknown,ireland,confirmed,covid
22/05/2020,23,3,unknown,north,ireland,confirmed,covid
22/05/2020,115,11,unknown,unknown,ireland,confirmed,covid
22/05/2020,0,-2,unknown,unknown,ireland, denotified, denotified
23/05/2020,41,1,unknown,north,ireland,confirmed,covid
23/05/2020,76,13,unknown,unknown,ireland,confirmed,covid
23/05/2020,0,-1,unknown,unknown,ireland, denotified, denotified
24/05/2020,25,1,unknown,north,ireland,confirmed,covid
24/05/2020,57,4,unknown,unknown,ireland,confirmed,covid
25/05/2020,39,8,unknown,north,ireland,confirmed,covid
25/05/2020,59,0,unknown,unknown,ireland,confirmed,covid
25/05/2020,0,-2,unknown,unknown,ireland, denotified, denotified
26/05/2020,28,0,unknown,north,ireland,confirmed,covid
26/05/2020,37,9,unknown,unknown,ireland,confirmed,covid
27/05/2020,26,2,unknown,north,ireland,confirmed,covid
27/05/2020,73,17,unknown,unknown,ireland,confirmed,covid
27/05/2020,-5,-1,unknown,unknown,ireland, denotified, denotified
28/05/2020,16,2,unknown,north,ireland,confirmed,covid
28/05/2020,46,9,unknown,unknown,ireland,confirmed,covid
28/05/2020,-8,-1,unknown,unknown,ireland, denotified, denotified
29/05/2020,17,3,unknown,north,ireland,confirmed,covid
