date,county,ncase
30/03/2020,Wexford,15
30/03/2020,Kerry,68
30/03/2020,Waterford,37
30/03/2020,Westmeath,80
30/03/2020,Wicklow,77
30/03/2020,Galway,88
30/03/2020,Limerick,87
30/03/2020,Cork,255
30/03/2020,Dublin,1645
31/03/2020,Laois,16
31/03/2020,Leitrim,12
31/03/2020,Monaghan,17
31/03/2020,Carlow,< = 5
31/03/2020,Cavan,39
31/03/2020,Clare,49
31/03/2020,Donegal,68
31/03/2020,Kildare,90
31/03/2020,Kilkenny,37
31/03/2020,Longford,14
31/03/2020,Louth,52
31/03/2020,Mayo,52
31/03/2020,Meath,74
31/03/2020,Offaly,46
31/03/2020,Roscommon,10
31/03/2020,Sligo,25
31/03/2020,Tipperary,91
31/03/2020,Wexford,16
31/03/2020,Kerry,72
31/03/2020,Waterford,38
31/03/2020,Westmeath,81
31/03/2020,Wicklow,84
31/03/2020,Galway,91
31/03/2020,Limerick,94
31/03/2020,Cork,272
31/03/2020,Dublin,1838
01/04/2020,Laois,16
01/04/2020,Leitrim,12
01/04/2020,Monaghan,17
01/04/2020,Carlow,< = 5
01/04/2020,Cavan,41
01/04/2020,Clare,50
01/04/2020,Donegal,77
01/04/2020,Kildare,103
01/04/2020,Kilkenny,47
01/04/2020,Longford,16
01/04/2020,Louth,54
01/04/2020,Mayo,55
01/04/2020,Meath,88
01/04/2020,Offaly,47
01/04/2020,Roscommon,13
01/04/2020,Sligo,26
01/04/2020,Tipperary,94
01/04/2020,Wexford,18
01/04/2020,Kerry,79
01/04/2020,Waterford,43
01/04/2020,Westmeath,86
01/04/2020,Wicklow,105
01/04/2020,Galway,98
01/04/2020,Limerick,96
01/04/2020,Cork,292
01/04/2020,Dublin,2077
02/04/2020,Laois,21
02/04/2020,Leitrim,13
02/04/2020,Monaghan,20
02/04/2020,Carlow,6
02/04/2020,Cavan,67
02/04/2020,Clare,54
02/04/2020,Donegal,80
02/04/2020,Kildare,136
02/04/2020,Kilkenny,54
02/04/2020,Longford,17
02/04/2020,Louth,55
02/04/2020,Mayo,63
02/04/2020,Meath,93
02/04/2020,Offaly,63
02/04/2020,Roscommon,13
02/04/2020,Sligo,27
02/04/2020,Tipperary,105
02/04/2020,Wexford,20
02/04/2020,Kerry,84
02/04/2020,Waterford,43
02/04/2020,Westmeath,92
02/04/2020,Wicklow,112
02/04/2020,Galway,105
02/04/2020,Limerick,116
02/04/2020,Cork,304
02/04/2020,Dublin,2251
03/04/2020,Laois,22
03/04/2020,Leitrim,13
03/04/2020,Monaghan,23
03/04/2020,Carlow,12
03/04/2020,Cavan,76
03/04/2020,Clare,54
03/04/2020,Donegal,81
03/04/2020,Kildare,152
03/04/2020,Kilkenny,73
03/04/2020,Longford,17
03/04/2020,Louth,64
03/04/2020,Mayo,78
03/04/2020,Meath,106
03/04/2020,Offaly,64
03/04/2020,Roscommon,15
03/04/2020,Sligo,28
03/04/2020,Tipperary,128
03/04/2020,Wexford,21
03/04/2020,Kerry,85
03/04/2020,Waterford,46
03/04/2020,Westmeath,94
03/04/2020,Wicklow,132
03/04/2020,Galway,108
03/04/2020,Limerick,128
03/04/2020,Cork,343
03/04/2020,Dublin,2490
04/04/2020,Laois,25
04/04/2020,Leitrim,13
04/04/2020,Monaghan,52
04/04/2020,Carlow,12
04/04/2020,Cavan,115
04/04/2020,Clare,60
04/04/2020,Donegal,103
04/04/2020,Kildare,175
04/04/2020,Kilkenny,75
04/04/2020,Longford,21
04/04/2020,Louth,65
04/04/2020,Mayo,107
04/04/2020,Meath,141
04/04/2020,Offaly,66
04/04/2020,Roscommon,18
04/04/2020,Sligo,28
04/04/2020,Tipperary,125
04/04/2020,Wexford,21
04/04/2020,Kerry,89
04/04/2020,Waterford,49
04/04/2020,Westmeath,107
04/04/2020,Wicklow,142
04/04/2020,Galway,112
04/04/2020,Limerick,140
04/04/2020,Cork,362
04/04/2020,Dublin,2692
05/04/2020,Laois,31
05/04/2020,Leitrim,18
05/04/2020,Monaghan,58
05/04/2020,Carlow,12
05/04/2020,Cavan,123
05/04/2020,Clare,65
05/04/2020,Donegal,114
05/04/2020,Kildare,200
05/04/2020,Kilkenny,79
